x,y,z,rld
29,29,0.9,0
30,30,0.9,0
21,21,0.9,0
22,22,0.9,0
23,23,0.9,0
24,24,0.9,0
25,25,0.9,0
26,26,0.9,0
27,27,0.9,0
28,28,0.9,0
29,29,0.9,0
30,30,0.9,0
21,21,0.9,0
22,22,0.9,0
23,23,0.9,0
24,24,0.9,0
25,25,0.9,0
26,26,0.9,0
27,27,0.9,0
28,28,0.9,0
29,29,0.9,0
30,30,0.9,0
21,21,0.9,0
22,22,0.9,0
23,23,0.9,0
24,24,0.9,0
25,25,0.9,0
26,26,0.9,0
27,27,0.9,0
28,28,0.9,0
29,29,0.9,0
30,30,0.9,0
21,21,0.9,0
22,22,0.9,0
23,23,0.9,0
24,24,0.9,0
25,25,0.9,0
26,26,0.9,0
27,27,0.9,0
28,28,0.9,0
29,29,0.9,0
30,30,0.9,0
21,21,0.9,0
22,22,0.9,0
23,23,0.9,0
24,24,0.9,0
25,25,0.9,0
26,26,0.9,0
27,27,0.9,0
28,28,0.9,0
29,29,0.9,0
30,30,0.9,0
21,21,0.9,0
22,22,0.9,0
23,23,0.9,0
24,24,0.9,0
25,25,0.9,0
26,26,0.9,0
27,27,0.9,0
28,28,0.9,0
29,29,0.9,0
30,30,0.9,0
21,21,0.9,0
22,22,0.9,0
23,23,0.9,0
24,24,0.9,0
25,25,0.9,0
26,26,0.9,0
27,27,0.9,0
28,28,0.9,0
29,29,0.9,0
30,30,0.9,0
21,21,0.85,0
22,22,0.85,0
23,23,0.85,0
24,24,0.85,0
25,25,0.85,0
26,26,0.85,0
27,27,0.85,0
28,28,0.85,0
29,29,0.85,0
30,30,0.85,0
21,21,0.85,0
22,22,0.85,0
23,23,0.85,0
24,24,0.85,0
25,25,0.85,0
26,26,0.85,0
27,27,0.85,0
28,28,0.85,0
29,29,0.85,0
30,30,0.85,0
21,21,0.85,0
22,22,0.85,0
23,23,0.85,0
24,24,0.85,0
25,25,0.85,0
26,26,0.85,0
27,27,0.85,0
28,28,0.85,0
29,29,0.85,0
30,30,0.85,0
21,21,0.85,0
22,22,0.85,0
23,23,0.85,0
24,24,0.85,0
25,25,0.85,0
26,26,0.85,0
27,27,0.85,0
28,28,0.85,0
29,29,0.85,0
30,30,0.85,0
21,21,0.85,0
22,22,0.85,0
23,23,0.85,0
24,24,0.85,0
25,25,0.85,0
26,26,0.85,0
27,27,0.85,0
28,28,0.85,0
29,29,0.85,0
30,30,0.85,0
21,21,0.85,0
22,22,0.85,0
23,23,0.85,0
24,24,0.85,0
25,25,0.85,0
26,26,0.85,0
27,27,0.85,0
28,28,0.85,168725.4053
29,29,0.85,0
30,30,0.85,0
21,21,0.85,0
22,22,0.85,0
23,23,0.85,0
24,24,0.85,0
25,25,0.85,0
26,26,0.85,0
27,27,0.85,0
28,28,0.85,0
29,29,0.85,0
30,30,0.85,0
21,21,0.85,0
22,22,0.85,0
23,23,0.85,0
24,24,0.85,0
25,25,0.85,0
26,26,0.85,0
27,27,0.85,0
28,28,0.85,0
29,29,0.85,0
30,30,0.85,0
21,21,0.85,0
22,22,0.85,0
23,23,0.85,0
24,24,0.85,0
25,25,0.85,0
26,26,0.85,0
27,27,0.85,0
28,28,0.85,0
29,29,0.85,0
30,30,0.85,0
21,21,0.85,0
22,22,0.85,0
23,23,0.85,0
24,24,0.85,0
25,25,0.85,0
26,26,0.85,0
27,27,0.85,0
28,28,0.85,0
29,29,0.85,0
30,30,0.85,0
21,21,0.8,0
22,22,0.8,0
23,23,0.8,0
24,24,0.8,0
25,25,0.8,18037.85145
26,26,0.8,0
27,27,0.8,0
28,28,0.8,0
29,29,0.8,0
30,30,0.8,0
21,21,0.8,0
22,22,0.8,0
23,23,0.8,0
24,24,0.8,0
25,25,0.8,0
26,26,0.8,0
27,27,0.8,0
28,28,0.8,0
29,29,0.8,0
30,30,0.8,0
21,21,0.8,0
22,22,0.8,0
23,23,0.8,0
24,24,0.8,0
25,25,0.8,0
26,26,0.8,0
27,27,0.8,0
28,28,0.8,0
29,29,0.8,0
30,30,0.8,0
21,21,0.8,0
22,22,0.8,0
23,23,0.8,0
24,24,0.8,0
25,25,0.8,16996.74258
26,26,0.8,50990.2291
27,27,0.8,16996.74258
28,28,0.8,0
29,29,0.8,0
30,30,0.8,0
21,21,0.8,0
22,22,0.8,0
23,23,0.8,0
24,24,0.8,0
25,25,0.8,0
26,26,0.8,0
27,27,0.8,0
28,28,0.8,0
29,29,0.8,0
30,30,0.8,0
21,21,0.8,0
22,22,0.8,0
23,23,0.8,0
24,24,0.8,0
25,25,0.8,0
26,26,0.8,0
27,27,0.8,16996.74258
28,28,0.8,50990.2291
29,29,0.8,0
30,30,0.8,0
21,21,0.8,0
22,22,0.8,0
23,23,0.8,0
24,24,0.8,0
25,25,0.8,56462.81302
26,26,0.8,0
27,27,0.8,0
28,28,0.8,50990.22616
29,29,0.8,0
30,30,0.8,0
21,21,0.8,0
22,22,0.8,0
23,23,0.8,0
24,24,0.8,0
25,25,0.8,0
26,26,0.8,0
27,27,0.8,0
28,28,0.8,0
29,29,0.8,0
30,30,0.8,0
21,21,0.8,0
22,22,0.8,0
23,23,0.8,0
24,24,0.8,0
25,25,0.8,0
26,26,0.8,0
27,27,0.8,0
28,28,0.8,33533.5505
29,29,0.8,0
30,30,0.8,0
21,21,0.8,0
22,22,0.8,0
23,23,0.8,0
24,24,0.8,0
25,25,0.8,0
26,26,0.8,0
27,27,0.8,0
28,28,0.8,0
29,29,0.8,0
30,30,0.8,0
21,21,0.75,0
22,22,0.75,0
23,23,0.75,0
24,24,0.75,0
25,25,0.75,17131.74885
26,26,0.75,3426.348245
27,27,0.75,0
28,28,0.75,0
29,29,0.75,0
30,30,0.75,0
21,21,0.75,0
22,22,0.75,0
23,23,0.75,0
24,24,0.75,0
25,25,0.75,0
26,26,0.75,0
27,27,0.75,0
28,28,0.75,0
29,29,0.75,0
30,30,0.75,0
21,21,0.75,0
22,22,0.75,0
23,23,0.75,0
24,24,0.75,0
25,25,0.75,0
26,26,0.75,0
27,27,0.75,10566.16975
28,28,0.75,0
29,29,0.75,0
30,30,0.75,0
21,21,0.75,13764.21957
22,22,0.75,0
23,23,0.75,0
24,24,0.75,0
25,25,0.75,10566.17112
26,26,0.75,14088.22275
27,27,0.75,10566.16819
28,28,0.75,7044.113625
29,29,0.75,3522.056127
30,30,0.75,0
21,21,0.75,13764.21957
22,22,0.75,0
23,23,0.75,0
24,24,0.75,0
25,25,0.75,8539.17288
26,26,0.75,17610.282
27,27,0.75,28176.45019
28,28,0.75,3522.057498
29,29,0.75,21132.33794
30,30,0.75,0
21,21,0.75,13764.2182
22,22,0.75,0
23,23,0.75,0
24,24,0.75,0
25,25,0.75,34120.68618
26,26,0.75,17610.28338
27,27,0.75,21132.33794
28,28,0.75,7044.113625
29,29,0.75,0
30,30,0.75,0
21,21,0.75,0
22,22,0.75,13764.21957
23,23,0.75,0
24,24,0.75,3522.056127
25,25,0.75,25590.51204
26,26,0.75,0
27,27,0.75,10566.16838
28,28,0.75,35220.56633
29,29,0.75,3522.056127
30,30,0.75,0
21,21,0.75,0
22,22,0.75,0
23,23,0.75,0
24,24,0.75,0
25,25,0.75,17610.28044
26,26,0.75,0
27,27,0.75,0
28,28,0.75,3522.056127
29,29,0.75,0
30,30,0.75,0
21,21,0.75,0
22,22,0.75,0
23,23,0.75,0
24,24,0.75,0
25,25,0.75,0
26,26,0.75,0
27,27,0.75,0
28,28,0.75,8386.350768
29,29,0.75,12579.52625
30,30,0.75,4193.17548
21,21,0.75,0
22,22,0.75,0
23,23,0.75,0
24,24,0.75,0
25,25,0.75,0
26,26,0.75,0
27,27,0.75,0
28,28,0.75,0
29,29,0.75,0
30,30,0.75,4193.17548
21,21,0.7,0
22,22,0.7,0
23,23,0.7,0
24,24,0.7,0
25,25,0.7,14692.90029
26,26,0.7,2671.436047
27,27,0.7,0
28,28,0.7,0
29,29,0.7,0
30,30,0.7,0
21,21,0.7,0
22,22,0.7,0
23,23,0.7,0
24,24,0.7,0
25,25,0.7,0
26,26,0.7,0
27,27,0.7,0
28,28,0.7,0
29,29,0.7,0
30,30,0.7,0
21,21,0.7,0
22,22,0.7,0
23,23,0.7,0
24,24,0.7,0
25,25,0.7,9004.751401
26,26,0.7,0
27,27,0.7,1800.949616
28,28,0.7,7203.801785
29,29,0.7,0
30,30,0.7,0
21,21,0.7,10450.26211
22,22,0.7,0
23,23,0.7,0
24,24,0.7,1800.949809
25,25,0.7,13507.12139
26,26,0.7,20710.93018
27,27,0.7,5402.850374
28,28,0.7,1800.948245
29,29,0.7,17109.02653
30,30,0.7,0
21,21,0.7,5971.577002
22,22,0.7,0
23,23,0.7,0
24,24,0.7,0
25,25,0.7,16208.55494
26,26,0.7,28594.13731
27,27,0.7,19810.45532
28,28,0.7,6312.324252
29,29,0.7,9905.227446
30,30,0.7,0
21,21,0.7,23886.3178
22,22,0.7,17914.73943
23,23,0.7,0
24,24,0.7,13120.62593
25,25,0.7,30687.83499
26,26,0.7,26636.7549
27,27,0.7,17540.36787
28,28,0.7,30616.14928
29,29,0.7,0
30,30,0.7,0
21,21,0.7,0
22,22,0.7,4478.683732
23,23,0.7,0
24,24,0.7,900.4749043
25,25,0.7,14774.14537
26,26,0.7,14351.80571
27,27,0.7,9905.230612
28,28,0.7,18009.49989
29,29,0.7,9004.746863
30,30,0.7,0
21,21,0.7,0
22,22,0.7,0
23,23,0.7,0
24,24,0.7,6303.326881
25,25,0.7,12459.22085
26,26,0.7,0
27,27,0.7,0
28,28,0.7,13507.13042
29,29,0.7,2701.424713
30,30,0.7,0
21,21,0.7,0
22,22,0.7,0
23,23,0.7,0
24,24,0.7,0
25,25,0.7,0
26,26,0.7,0
27,27,0.7,900.4749043
28,28,0.7,6630.959182
29,29,0.7,5525.802183
30,30,0.7,5525.80085
21,21,0.7,0
22,22,0.7,0
23,23,0.7,0
24,24,0.7,0
25,25,0.7,0
26,26,0.7,0
27,27,0.7,0
28,28,0.7,0
29,29,0.7,3315.478239
30,30,0.7,21273.38015
21,21,0.65,0
22,22,0.65,0
23,23,0.65,528.6877719
24,24,0.65,2598.431649
25,25,0.65,17149.6527
26,26,0.65,1559.061314
27,27,0.65,0
28,28,0.65,0
29,29,0.65,0
30,30,0.65,0
21,21,0.65,0
22,22,0.65,0
23,23,0.65,0
24,24,0.65,0
25,25,0.65,1039.37356
26,26,0.65,0
27,27,0.65,0
28,28,0.65,0
29,29,0.65,0
30,30,0.65,0
21,21,0.65,1185.640557
22,22,0.65,0
23,23,0.65,0
24,24,0.65,4150.178149
25,25,0.65,6916.965398
26,26,0.65,922.2615917
27,27,0.65,3689.047315
28,28,0.65,6464.834909
29,29,0.65,0
30,30,0.65,0
21,21,0.65,8892.297158
22,22,0.65,0
23,23,0.65,0
24,24,0.65,2766.785954
25,25,0.65,29060.25643
26,26,0.65,17070.84671
27,27,0.65,9222.623588
28,28,0.65,3698.051928
29,29,0.65,14756.19158
30,30,0.65,0
21,21,0.65,11272.57842
22,22,0.65,0
23,23,0.65,1844.524362
24,24,0.65,5072.440882
25,25,0.65,24050.22876
26,26,0.65,32336.71633
27,27,0.65,31836.0363
28,28,0.65,10615.01443
29,29,0.65,7396.098237
30,30,0.65,0
21,21,0.65,31446.45518
22,22,0.65,5344.377165
23,23,0.65,0
24,24,0.65,12554.57135
25,25,0.65,33167.48871
26,26,0.65,28311.37529
27,27,0.65,28670.54539
28,28,0.65,17522.98209
29,29,0.65,922.2629632
30,30,0.65,0
21,21,0.65,0
22,22,0.65,2973.09941
23,23,0.65,0
24,24,0.65,929.1983935
25,25,0.65,19623.37586
26,26,0.65,30760.61182
27,27,0.65,15251.99282
28,28,0.65,15687.45652
29,29,0.65,9231.62683
30,30,0.65,0
21,21,0.65,0
22,22,0.65,0
23,23,0.65,0
24,24,0.65,4150.177688
25,25,0.65,11074.07927
26,26,0.65,936.1338238
27,27,0.65,461.1307959
28,28,0.65,11076.14038
29,29,0.65,7378.093143
30,30,0.65,0
21,21,0.65,0
22,22,0.65,0
23,23,0.65,0
24,24,0.65,0
25,25,0.65,0
26,26,0.65,0
27,27,0.65,461.1321673
28,28,0.65,2193.336799
29,29,0.65,8773.342403
30,30,0.65,3518.337774
21,21,0.65,0
22,22,0.65,0
23,23,0.65,0
24,24,0.65,0
25,25,0.65,0
26,26,0.65,0
27,27,0.65,0
28,28,0.65,1754.667237
29,29,0.65,14494.02256
30,30,0.65,18857.5365
21,21,0.6,0
22,22,0.6,0
23,23,0.6,299.8053728
24,24,0.6,599.6105149
25,25,0.6,21903.82195
26,26,0.6,1798.835607
27,27,0.6,0
28,28,0.6,0
29,29,0.6,0
30,30,0.6,0
21,21,0.6,0
22,22,0.6,0
23,23,0.6,0
24,24,0.6,0
25,25,0.6,2026.226207
26,26,0.6,0
27,27,0.6,0
28,28,0.6,0
29,29,0.6,0
30,30,0.6,0
21,21,0.6,1292.35564
22,22,0.6,0
23,23,0.6,0
24,24,0.6,6349.380391
25,25,0.6,12138.4238
26,26,0.6,2205.348537
27,27,0.6,6340.382737
28,28,0.6,10484.41157
29,29,0.6,0
30,30,0.6,0
21,21,0.6,11238.36238
22,22,0.6,0
23,23,0.6,0
24,24,0.6,2205.348788
25,25,0.6,28127.20763
26,26,0.6,23992.18684
27,27,0.6,7443.055045
28,28,0.6,7167.384544
29,29,0.6,14886.112
30,30,0.6,0
21,21,0.6,17334.29187
22,22,0.6,320.8385387
23,23,0.6,2756.687047
24,24,0.6,6891.717868
25,25,0.6,21219.69549
26,26,0.6,40860.46822
27,27,0.6,36112.6004
28,28,0.6,12405.09555
29,29,0.6,6091.720328
30,30,0.6,0
21,21,0.6,28875.48702
22,22,0.6,9304.334196
23,23,0.6,0
24,24,0.6,13772.29319
25,25,0.6,32780.54298
26,26,0.6,40948.11982
27,27,0.6,38700.74695
28,28,0.6,17927.47494
29,29,0.6,2214.347472
30,30,0.6,0
21,21,0.6,962.5169875
22,22,0.6,2254.874288
23,23,0.6,551.3382591
24,24,0.6,3804.728813
25,25,0.6,28037.0199
26,26,0.6,32741.38991
27,27,0.6,17560.8583
28,28,0.6,24258.85889
29,29,0.6,12414.10164
30,30,0.6,0
21,21,0.6,0
22,22,0.6,0
23,23,0.6,0
24,24,0.6,2481.021827
25,25,0.6,9914.765944
26,26,0.6,1319.057332
27,27,0.6,4962.036897
28,28,0.6,12414.0947
29,29,0.6,8821.398323
30,30,0.6,0
21,21,0.6,0
22,22,0.6,0
23,23,0.6,0
24,24,0.6,0
25,25,0.6,0
26,26,0.6,0
27,27,0.6,1378.340463
28,28,0.6,1592.815396
29,29,0.6,4129.90862
30,30,0.6,4428.855611
21,21,0.6,274.1291805
22,22,0.6,0
23,23,0.6,0
24,24,0.6,0
25,25,0.6,0
26,26,0.6,0
27,27,0.6,0
28,28,0.6,2323.071453
29,29,0.6,21232.74996
30,30,0.6,26020.88703
21,21,0.55,0
22,22,0.55,0
23,23,0.55,195.8568989
24,24,0.55,1566.84677
25,25,0.55,21357.28016
26,26,0.55,1958.557402
27,27,0.55,0
28,28,0.55,0
29,29,0.55,0
30,30,0.55,0
21,21,0.55,0
22,22,0.55,0
23,23,0.55,0
24,24,0.55,0
25,25,0.55,2135.892353
26,26,0.55,0
27,27,0.55,191.0965232
28,28,0.55,910.4740344
29,29,0.55,0
30,30,0.55,0
21,21,0.55,2139.747306
22,22,0.55,0
23,23,0.55,0
24,24,0.55,4916.569016
25,25,0.55,19502.17465
26,26,0.55,3277.710292
27,27,0.55,6555.425353
28,28,0.55,12564.55949
29,29,0.55,0
30,30,0.55,0
21,21,0.55,16737.94995
22,22,0.55,0
23,23,0.55,0
24,24,0.55,2922.526073
25,25,0.55,36610.12775
26,26,0.55,22233.6075
27,27,0.55,11663.08963
28,28,0.55,9477.953683
29,29,0.55,16579.66224
30,30,0.55,2376.235654
21,21,0.55,19063.23724
22,22,0.55,0
23,23,0.55,1638.858119
24,24,0.55,7101.712448
25,25,0.55,21998.49039
26,26,0.55,54372.54926
27,27,0.55,40607.21446
28,28,0.55,18209.49974
29,29,0.55,7648.003721
30,30,0.55,0
21,21,0.55,30151.02345
22,22,0.55,12458.45118
23,23,0.55,0
24,24,0.55,15237.1789
25,25,0.55,38485.57554
26,26,0.55,57345.77862
27,27,0.55,42228.66746
28,28,0.55,24764.94003
29,29,0.55,3277.71342
30,30,0.55,0
21,21,0.55,2732.314238
22,22,0.55,1945.228937
23,23,0.55,0
24,24,0.55,5928.82593
25,25,0.55,41900.74241
26,26,0.55,36078.63071
27,27,0.55,25502.59475
28,28,0.55,26412.79406
29,29,0.55,13310.93713
30,30,0.55,0
21,21,0.55,0
22,22,0.55,0
23,23,0.55,0
24,24,0.55,3104.623398
25,25,0.55,7937.685141
26,26,0.55,665.7489672
27,27,0.55,6555.417457
28,28,0.55,12928.75739
29,29,0.55,6737.522982
30,30,0.55,0
21,21,0.55,0
22,22,0.55,0
23,23,0.55,0
24,24,0.55,0
25,25,0.55,0
26,26,0.55,0
27,27,0.55,1820.951914
28,28,0.55,1032.864905
29,29,0.55,5050.626799
30,30,0.55,3670.262382
21,21,0.55,537.3347331
22,22,0.55,0
23,23,0.55,0
24,24,0.55,0
25,25,0.55,0
26,26,0.55,0
27,27,0.55,336.7074296
28,28,0.55,3367.07907
29,29,0.55,29020.66256
30,30,0.55,32649.14812
21,21,0.5,0
22,22,0.5,0
23,23,0.5,430.0547421
24,24,0.5,2580.331831
25,25,0.5,28097.00475
26,26,0.5,3010.391073
27,27,0.5,0
28,28,0.5,0
29,29,0.5,0
30,30,0.5,0
21,21,0.5,275.6693122
22,22,0.5,0
23,23,0.5,0
24,24,0.5,0
25,25,0.5,2406.083446
26,26,0.5,406.8804634
27,27,0.5,0
28,28,0.5,813.7607343
29,29,0.5,0
30,30,0.5,0
21,21,0.5,2052.316464
22,22,0.5,0
23,23,0.5,0
24,24,0.5,5967.586253
25,25,0.5,24566.44662
26,26,0.5,2848.155695
27,27,0.5,6238.832999
28,28,0.5,16157.58353
29,29,0.5,542.5052634
30,30,0.5,0
21,21,0.5,18324.21278
22,22,0.5,0
23,23,0.5,280.2544058
24,24,0.5,2857.159296
25,25,0.5,30525.03184
26,26,0.5,31465.39688
27,27,0.5,13029.16967
28,28,0.5,12486.65406
29,29,0.5,22794.29348
30,30,0.5,2585.907811
21,21,0.5,20980.91151
22,22,0.5,1465.938691
23,23,0.5,1085.01463
24,24,0.5,7188.218153
25,25,0.5,21755.30872
26,26,0.5,63642.72093
27,27,0.5,50326.50991
28,28,0.5,27541.22202
29,29,0.5,6510.081148
30,30,0.5,135.6248
21,21,0.5,32250.64309
22,22,0.5,16289.90103
23,23,0.5,280.2544058
24,24,0.5,16679.53752
25,25,0.5,48333.32491
26,26,0.5,71436.23204
27,27,0.5,59680.05421
28,28,0.5,24023.94185
29,29,0.5,3526.287398
30,30,0.5,271.2540994
21,21,0.5,4837.59778
22,22,0.5,1319.345368
23,23,0.5,0
24,24,0.5,5482.261182
25,25,0.5,50446.17903
26,26,0.5,41227.9152
27,27,0.5,29506.89447
28,28,0.5,35588.2154
29,29,0.5,17360.23202
30,30,0.5,0
21,21,0.5,0
22,22,0.5,0
23,23,0.5,0
24,24,0.5,2712.532311
25,25,0.5,10461.95883
26,26,0.5,891.1072514
27,27,0.5,9900.745617
28,28,0.5,21022.14099
29,29,0.5,8833.736869
30,30,0.5,0
21,21,0.5,0
22,22,0.5,0
23,23,0.5,0
24,24,0.5,0
25,25,0.5,0
26,26,0.5,271.2540994
27,27,0.5,2305.65543
28,28,0.5,1621.19166
29,29,0.5,6743.181386
30,30,0.5,5289.497978
21,21,0.5,786.715578
22,22,0.5,0
23,23,0.5,0
24,24,0.5,0
25,25,0.5,0
26,26,0.5,0
27,27,0.5,1496.483666
28,28,0.5,5611.806443
29,29,0.5,37665.41183
30,30,0.5,39805.18436
21,21,0.45,0
22,22,0.45,0
23,23,0.45,1573.439649
24,24,0.45,2541.716197
25,25,0.45,30146.5067
26,26,0.45,5455.52702
27,27,0.45,0
28,28,0.45,0
29,29,0.45,0
30,30,0.45,0
21,21,0.45,712.5776833
22,22,0.45,0
23,23,0.45,0
24,24,0.45,130.0353156
25,25,0.45,2391.490155
26,26,0.45,350.5894972
27,27,0.45,0
28,28,0.45,350.5910612
29,29,0.45,0
30,30,0.45,0
21,21,0.45,2971.561539
22,22,0.45,0
23,23,0.45,0
24,24,0.45,9942.418739
25,25,0.45,27696.68915
26,26,0.45,5258.867159
27,27,0.45,5492.595311
28,28,0.45,17880.14595
29,29,0.45,467.4557395
30,30,0.45,0
21,21,0.45,19850.10621
22,22,0.45,1307.487125
23,23,0.45,116.8633068
24,24,0.45,6778.093574
25,25,0.45,43473.32263
26,26,0.45,41612.48106
27,27,0.45,16244.07899
28,28,0.45,15659.72841
29,29,0.45,26177.46967
30,30,0.45,3038.456895
21,21,0.45,23059.39281
22,22,0.45,3099.428299
23,23,0.45,2103.540935
24,24,0.45,9232.234667
25,25,0.45,30501.84832
26,26,0.45,74195.448
27,27,0.45,65500.67976
28,28,0.45,28164.15778
29,29,0.45,10985.19718
30,30,0.45,350.5912919
21,21,0.45,38895.15893
22,22,0.45,18661.47484
23,23,0.45,0
24,24,0.45,19180.45183
25,25,0.45,58223.52772
26,26,0.45,88692.36029
27,27,0.45,64335.4594
28,28,0.45,23606.49396
29,29,0.45,5735.320349
30,30,0.45,116.8617428
21,21,0.45,4754.511705
22,22,0.45,1426.357458
23,23,0.45,0
24,24,0.45,8998.030437
25,25,0.45,57556.88616
26,26,0.45,44419.98934
27,27,0.45,34013.81656
28,28,0.45,40668.59333
29,29,0.45,21970.36559
30,30,0.45,1818.209862
21,21,0.45,0
22,22,0.45,0
23,23,0.45,0
24,24,0.45,4332.962223
25,25,0.45,13289.97563
26,26,0.45,1454.680327
27,27,0.45,13673.05691
28,28,0.45,25125.69894
29,29,0.45,8531.063566
30,30,0.45,104.7419288
21,21,0.45,0
22,22,0.45,0
23,23,0.45,0
24,24,0.45,0
25,25,0.45,0
26,26,0.45,233.7279851
27,27,0.45,3047.456811
28,28,0.45,2455.172291
29,29,0.45,7204.948981
30,30,0.45,7626.413808
21,21,0.45,2998.427128
22,22,0.45,0
23,23,0.45,0
24,24,0.45,0
25,25,0.45,0
26,26,0.45,0
27,27,0.45,4358.098625
28,28,0.45,8117.100116
29,29,0.45,41659.066
30,30,0.45,50664.28735
21,21,0.4,0
22,22,0.4,0
23,23,0.4,3061.25488
24,24,0.4,4644.657269
25,25,0.4,31034.85905
26,26,0.4,8972.643616
27,27,0.4,527.8020717
28,28,0.4,0
29,29,0.4,0
30,30,0.4,0
21,21,0.4,1115.610711
22,22,0.4,0
23,23,0.4,0
24,24,0.4,316.6819071
25,25,0.4,2464.320067
26,26,0.4,99.79897155
27,27,0.4,199.5993145
28,28,0.4,1397.191811
29,29,0.4,0
30,30,0.4,0
21,21,0.4,4649.565975
22,22,0.4,0
23,23,0.4,0
24,24,0.4,11377.12419
25,25,0.4,34648.41557
26,26,0.4,7194.552481
27,27,0.4,4418.180825
28,28,0.4,20966.90653
29,29,0.4,898.191981
30,30,0.4,0
21,21,0.4,26583.40876
22,22,0.4,1819.39639
23,23,0.4,108.8006494
24,24,0.4,7884.147064
25,25,0.4,50108.35284
26,26,0.4,47404.74593
27,27,0.4,17864.10994
28,28,0.4,21955.8526
29,29,0.4,34131.40398
30,30,0.4,4100.776269
21,21,0.4,31563.1876
22,22,0.4,6266.792359
23,23,0.4,2494.989662
24,24,0.4,12874.13829
25,25,0.4,37262.04905
26,26,0.4,92537.01656
